"model","term","n","events","HR","CI95_low","CI95_high","p"
"cox_axis_continuous","axis_score",398,113,1.54291584497033,1.27032908930172,1.87399416789636,1.22889571990132e-05
"cox_axis_median","axis_group_medianhigh",398,113,2.09260325049448,1.42463218402724,3.07376768058212,0.000167191054879466
"cox_risk_immune","risk_score",398,113,1.97438895921605,1.46127265196728,2.66768269222459,9.41327657484862e-06
"cox_risk_immune","immune_score",398,113,0.70503845087233,0.570327780045587,0.871567604805649,0.00123544514587532
"cox_axis_adjusted_age_gender_stage","axis_score",393,111,1.50761189726814,1.22815936771158,1.85065040624126,8.68131464593896e-05
"cox_axis_adjusted_age_gender_stage","age",393,111,1.00844356402874,0.988497114957665,1.02879250373386,0.409427674159722
"cox_axis_adjusted_age_gender_stage","genderM",393,111,1.65315213159521,1.12659828009721,2.42580875408577,0.0101931671110578
"cox_axis_adjusted_age_gender_stage","stage_groupII",393,111,1.9588300507719,1.21364335739528,3.16156731252749,0.00591050083093998
"cox_axis_adjusted_age_gender_stage","stage_groupIII",393,111,3.29794726145469,2.0336313267525,5.34829297535706,1.31476243418356e-06
"cox_axis_adjusted_age_gender_stage","stage_groupIV",393,111,3.61710851604337,1.6849066318924,7.76510328179952,0.000972306633245916
"cox_clinical_baseline","age",393,111,1.00357213430936,0.983328561517448,1.02423245716368,0.731627454874672
"cox_clinical_baseline","genderM",393,111,1.7477791785123,1.19168278389112,2.56337684670305,0.00427084222893309
"cox_clinical_baseline","stage_groupII",393,111,2.10489137513648,1.30579765347258,3.3929971380646,0.00224869966256652
"cox_clinical_baseline","stage_groupIII",393,111,3.49128900388336,2.15414198189697,5.65844731269892,3.88012592042381e-07
"cox_clinical_baseline","stage_groupIV",393,111,3.56556928994681,1.66926287637475,7.61610681058342,0.00102639809358954
"cox_clinical_plus_axis","age",393,111,1.00844356402874,0.988497114957665,1.02879250373386,0.409427674159723
"cox_clinical_plus_axis","genderM",393,111,1.65315213159521,1.12659828009721,2.42580875408578,0.0101931671110578
"cox_clinical_plus_axis","stage_groupII",393,111,1.9588300507719,1.21364335739528,3.16156731252749,0.00591050083093999
"cox_clinical_plus_axis","stage_groupIII",393,111,3.29794726145468,2.0336313267525,5.34829297535706,1.31476243418357e-06
"cox_clinical_plus_axis","stage_groupIV",393,111,3.61710851604337,1.6849066318924,7.76510328179952,0.000972306633245922
"cox_clinical_plus_axis","axis_score",393,111,1.50761189726814,1.22815936771158,1.85065040624126,8.68131464593895e-05
