gene,living_n,deceased_n,deceased_minus_living_mean,early_stage_n,advanced_stage_n,advanced_minus_early_mean
CXCL9,328,187,-0.3334,397,110,-0.5091
CTLA4,328,187,-0.4754,397,110,-0.3342
CD8B,328,187,-0.1812,397,110,-0.4562
CD8A,328,187,-0.1996,397,110,-0.4452
MKI67,328,187,0.3875,397,110,0.4248
TIGIT,328,187,-0.2847,397,110,-0.392
CXCL11,328,187,-0.0785,397,110,-0.3802
CA9,328,187,0.3784,397,110,0.343
LAG3,328,187,-0.2089,397,110,-0.3659
IDO1,328,187,-0.073,397,110,-0.3415
FOXP3,328,187,-0.1896,397,110,-0.3023
GZMB,328,187,-0.155,397,110,-0.2854
CXCL10,328,187,-0.1606,397,110,-0.2646
CD4,328,187,-0.2599,397,110,-0.236
PDCD1,328,187,-0.1511,397,110,-0.2464
IFNG,328,187,-0.2233,397,110,-0.181
HAVCR2,328,187,-0.2207,397,110,-0.182
PRF1,328,187,-0.1619,397,110,-0.1873
COL1A1,328,187,0.1426,397,110,-0.0038
PDCD1LG2,328,187,-0.138,397,110,-0.0762
CD274,328,187,-0.0925,397,110,0.1347
EPCAM,328,187,-0.0219,397,110,-0.1088
HIF1A,328,187,0.0694,397,110,0.1001
COL1A2,328,187,0.0985,397,110,0.031
VEGFA,328,187,-0.0149,397,110,0.0591
FN1,328,187,-0.0553,397,110,0.0238
STAT1,328,187,0.0282,397,110,-0.0145
VIM,328,187,-0.0107,397,110,-0.0124
