gene,n,median_cutoff,high_n,low_n,high_events,low_events,logrank_chisq,logrank_p_approx,high_3y_survival,low_3y_survival,high_5y_survival,low_5y_survival,direction
MKI67,502,10.3559,251,251,106,76,12.1356,0.000494676,0.5206,0.7271,0.3782,0.4366,high expression worse survival
CA9,502,6.5069,251,251,102,80,8.5482,0.00345861,0.548,0.7001,0.324,0.4895,high expression worse survival
STAT1,502,12.6935,251,251,94,88,4.9504,0.0260842,0.5465,0.6907,0.3577,0.4546,high expression worse survival
CD4,502,11.0835,251,251,77,105,3.7309,0.0534138,0.6598,0.5877,0.4776,0.3497,high expression better survival
CD8A,502,7.9439,251,251,79,103,3.5613,0.0591429,0.6425,0.6059,0.4923,0.3346,high expression better survival
CD8B,502,5.9562,251,251,80,102,3.2145,0.0729881,0.6416,0.6067,0.4586,0.3627,high expression better survival
TIGIT,502,6.7192,251,251,80,102,2.3826,0.122695,0.6588,0.5907,0.4465,0.3721,high expression better survival
CTLA4,502,6.0909,251,251,76,106,2.3466,0.125555,0.6589,0.5916,0.4229,0.3864,high expression better survival
COL1A2,502,14.7281,251,251,95,87,2.2169,0.136508,0.5922,0.6544,0.4079,0.4109,high expression worse survival
VEGFA,502,12.2052,251,251,96,86,1.8612,0.172489,0.5814,0.6659,0.3876,0.4301,high expression worse survival
COL1A1,502,15.3144,251,251,94,88,1.2075,0.27183,0.5952,0.6512,0.3846,0.4281,high expression worse survival
GZMB,502,7.0371,251,251,85,97,0.9416,0.33187,0.6091,0.6394,0.4863,0.3367,high expression better survival
FN1,502,15.5296,251,251,89,93,0.924,0.336428,0.5739,0.6672,0.4295,0.4002,high expression worse survival
HIF1A,502,11.9846,251,251,94,88,0.8019,0.370532,0.5993,0.6506,0.4164,0.4039,small survival difference
CD274,502,5.9627,251,251,88,94,0.4824,0.487354,0.5938,0.6503,0.4231,0.406,small survival difference
CXCL11,502,6.3182,251,251,88,94,0.3851,0.534909,0.5753,0.666,0.4242,0.3992,high expression worse survival
PRF1,502,7.7909,251,251,85,97,0.2999,0.583971,0.6307,0.6172,0.4275,0.3895,high expression better survival
HAVCR2,502,8.8715,251,251,87,95,0.2199,0.639137,0.6196,0.6274,0.39,0.4224,high expression worse survival
FOXP3,502,6.3045,251,251,87,95,0.1934,0.660099,0.6455,0.6017,0.4095,0.4026,high expression better survival
VIM,502,14.0236,251,251,87,95,0.1846,0.667488,0.6286,0.6174,0.4221,0.3912,high expression better survival
LAG3,502,6.7824,251,251,86,96,0.1703,0.679881,0.6046,0.6394,0.4157,0.401,small survival difference
CXCL10,502,8.5624,251,251,87,95,0.145,0.703365,0.5803,0.6632,0.4257,0.3962,high expression worse survival
IDO1,502,8.6472,251,251,93,89,0.0948,0.758177,0.5966,0.6516,0.4215,0.3923,small survival difference
PDCD1LG2,502,6.4786,251,251,84,98,0.0823,0.774154,0.6317,0.6159,0.4299,0.3921,high expression better survival
PDCD1,502,5.8048,251,251,88,94,0.0106,0.917853,0.6114,0.6343,0.4106,0.4047,small survival difference
EPCAM,502,13.257,251,251,95,87,0.0047,0.945234,0.6364,0.6102,0.3944,0.4258,small survival difference
CXCL9,502,10.0565,251,251,86,96,0.0,0.994614,0.5976,0.6474,0.4467,0.3803,small survival difference
IFNG,502,2.9264,251,251,88,94,0.0,0.9956,0.5938,0.6523,0.4558,0.3627,small survival difference
